cd cmsName;URL
"Kinnisvara24";"https://kinnisvara24.ee/"
"SOOV.ee";"https://soov.ee/13-kinnisvara/listings.html"
"Eesti Kinnisvarafirmade Liit";"http://www.ekfl.ee/"
"Eesti Omanike Keskliit";"https://omanikud.ee/"
"Ehitisregister";"https://livekluster.ehr.ee/ui/ehr/v1"
"Eesti Korteriühistute Liit (EKÜL)";"https://ekyl.ee/"
"Eesti Kinnisvaramaaklerite Koda";"https://maakleritekoda.ee/"
"Eesti Kinnisvara Hindajate Ühing";"http://www.ekhy.ee/"
"Eesti Kinnisvara Kompetentsikeskus";"http://ekkk.ee/"
"Eesti Kinnisvara Korrashoiu Liit (EKKL)";"https://www.ekkliit.ee/"
"Tartu Korteriühistute Liit";"http://www.tarkyl.ee/"
"Kinnisvara24";"https://kinnisvara24.ee/"
"City24";"https://city24.ee/"
"KV.ee";"https://www.kv.ee/"
"Uuskorter.ee";"https://uuskorter.ee/"
"Kinnisvarauudised.ee";"http://www.kinnisvarauudised.ee/"
"Koduline";"https://koduline.com/ee"
"HomeFindsYou";"https://homefindsyou.ee/"
"A&B Haldusühendus";"https://abhaldus.ee/"
"AAA Haldusteenused";"https://aaahaldusteenused.ee/"
"Alfahaldus";"http://www.alfahaldus.ee/"
"Alliku Haldus";"http://www.allikuhaldus.eu/"
"Alystone";"http://www.alystone.ee/"
"Annamari";"https://www.annamari.ee/"
"ARF Arendus";"https://www.arf.ee/"
"Arkaadia Halduse";"http://www.arkaadia.ee/"
"BCG Haldus";"https://www.bcghaldus.ee/"
"BRI KV Haldus";"http://www.bri.ee/"
"BRP Haldus";"https://www.brphaldus.ee/"
"Castro Kinnisvarahaldus";"https://castro.ee/"
"CityHaldus";"http://www.cityhaldus.ee/"
"Done Haldus";"http://www.donehaldus.ee/"
"Ellington";"https://ellingtonhaldus.ee/"
"Greyhound Investments";"https://greyhound.ee/"
"Haabersti Haldus";"http://www.haaberstihaldus.ee/"
"Halda Grupp";"http://www.halda.ee/"
"Haldus Est";"http://www.haldusest.eu/"
"Imsar Halduse";"http://halduse.ee/"
"JS Vara";"https://www.jsvara.eu/"
"Juntson Haldus";"https://juntson.eu/"
"Kasekapa";"https://kasekapa.ee/"
"Kesklinna Kinnisvarahaldus";"https://kesklinnakvh.ee/"
"Kinnistu Haldus";"http://kinnistuhaldus.ee/"
"Kinnisvarahaldjas";"https://www.kinnisvarahaldjas.ee/"
"Kiriku Varahaldus";"http://kirikuvarahaldus.eelk.ee/"
"Kvatro Kinnisvarahalduse";"http://www.kvatro.ee/"
"L&T Partners";"https://ltpartners.ee/"
"Laohaldus";"http://laohaldus.ee/"
"Lepa Projekt";"http://www.lepaprojekt.ee/"
"Lõunavara";"https://lounavara.weebly.com/"
"Majavalitseja Grupp";"http://www.majavalitseja.ee/"
"Majavara Haldus";"http://majavara.ee/"
"Maket Kinnisvara";"http://www.maket.ee/"
"Martland";"http://www.martland.ee/"
"Mercurius Global (MG Kinnisvarahaldus)";"https://mgk.ee/"
"Minu Kinnisvara Haldus";"http://www.minukinnisvarahaldus.ee/"
"MT Varahalduse";"http://www.mtv.ee/"
"My Property";"http://www.myproperty.ee/"
"Narva Linnaelamu";"http://linnaelamu.ee/"
"Onest Haldus";"http://www.onest.ee/"
"R Haldus";"http://www.rhaldus.ee/"
"R&A Varad";"http://ravarad.ee/"
