Name;URL;Emails;Status
Kinnisvara24;https://kinnisvara24.ee/;Не найдено;Не найдено
SOOV.ee;https://soov.ee/13-kinnisvara/listings.html;soov@soov.ee;OK
Eesti Kinnisvarafirmade Liit;http://www.ekfl.ee/;ekfl@ekfl.ee;OK
Eesti Omanike Keskliit;https://omanikud.ee/;omanikud@omanikud.ee;OK
Ehitisregister;https://livekluster.ehr.ee/ui/ehr/v1;Не найдено;Не найдено
Eesti Korteriühistute Liit (EKÜL);https://ekyl.ee/;ekyl@ekyl.ee;OK
Eesti Kinnisvaramaaklerite Koda;https://maakleritekoda.ee/;maakleritekoda@maakleritekoda.ee;OK
Eesti Kinnisvara Hindajate Ühing;http://www.ekhy.ee/;ekhy@ekhy.ee;OK
Eesti Kinnisvara Kompetentsikeskus;http://ekkk.ee/;"andres@ekkk.ee; info@ekkk.ee; ronald@ekkk.ee";OK
Eesti Kinnisvara Korrashoiu Liit (EKKL);https://www.ekkliit.ee/;"info@ekkliit.ee; info@harity.com";OK
Tartu Korteriühistute Liit;http://www.tarkyl.ee/;"bt@hot.ee; elverkuk@gmail.com; heidi.toomsalu@revalroofs.ee; heiki1976@hotmail.com; info@asfaltgrupp.ee; info@koristusteenustartus.ee; info@maramaaehitus.ee; info@pakendiringlus.ee; jyri@juntson.ee; kaupo.suld@daw.ee; marek@merek.eu; semt@semt.ee; tanel@balticsystems.ee; tartukyl@gmail.com";OK
Kinnisvara24;https://kinnisvara24.ee/;Не найдено;Не найдено
City24;https://city24.ee/;Не найдено;Не найдено
KV.ee;https://www.kv.ee/;Не найдено;Не найдено
Uuskorter.ee;https://uuskorter.ee/;info@uuskorter.ee;OK
Kinnisvarauudised.ee;http://www.kinnisvarauudised.ee/;"aripaev@aripaev.ee; kinnisvarauudised@kinnisvarauudised.ee; rivo.habakuk@aripaev.ee; siim.sultson@aripaev.ee; teeli.remmelg@aripaev.ee; triin.uibopuu@aripaev.ee";OK
Koduline;https://koduline.com/ee;ylle@modernne.ee;OK
HomeFindsYou;https://homefindsyou.ee/;magnus.meldre@homefindsyou.ee;OK
A&B Haldusühendus;https://abhaldus.ee/;Не найдено;Не найдено
AAA Haldusteenused;https://aaahaldusteenused.ee/;info@aaahaldusteenused.ee;OK
Alfahaldus;http://www.alfahaldus.ee/;Не найдено;Не найдено
Alliku Haldus;http://www.allikuhaldus.eu/;"info@allikuhaldus.eu; paring@allikuhaldus.eu";OK
Alystone;http://www.alystone.ee/;alystone@alystone.ee;OK
Annamari;https://www.annamari.ee/;annamari@annamari.ee;OK
ARF Arendus;https://www.arf.ee/;koristus@arf.ee;OK
Arkaadia Halduse;http://www.arkaadia.ee/;"info@arkaadia.ee; tartu@arkaadia.ee; valga@arkaadia.ee";OK
BCG Haldus;https://www.bcghaldus.ee/;myyk@bcghaldus.ee;OK
BRI KV Haldus;http://www.bri.ee/;risto@bri.ee;OK
BRP Haldus;https://www.brphaldus.ee/;info@brphaldus.ee;OK
Castro Kinnisvarahaldus;https://castro.ee/;"info@hausel.ee; kalvi@hausel.ee; kerli@hausel.ee; kristo@hausel.ee";OK
CityHaldus;http://www.cityhaldus.ee/;info@cityhaldus.ee;OK
Done Haldus;http://www.donehaldus.ee/;done@donehaldus.ee;OK
Ellington;https://ellingtonhaldus.ee/;ellingtonhaldus@gmail.com;OK
Greyhound Investments;https://greyhound.ee/;info@greyhound.ee;OK
Haabersti Haldus;http://www.haaberstihaldus.ee/;Не найдено;Не найдено
Halda Grupp;http://www.halda.ee/;"email@yourname.com; info@halda.ee";OK
Haldus Est;http://www.haldusest.eu/;"aimar@haldusest.ee; heli@haldusest.ee; kaidi@haldusest.ee; karl@haldusest.ee; merli@haldusest.ee; mihkel@haldusest.ee";OK
Imsar Halduse;http://halduse.ee/;imre@halduse.ee;OK
JS Vara;https://www.jsvara.eu/;info@jsvara.eu;OK
Juntson Haldus;https://juntson.eu/;info@juntson.ee;OK
Kasekapa;https://kasekapa.ee/;info@kasekapa.ee;OK
Kesklinna Kinnisvarahaldus;https://kesklinnakvh.ee/;info@kesklinnakvh.ee;OK
Kinnistu Haldus;http://kinnistuhaldus.ee/;"info@kinnistuhaldus.ee; peeter@kinnistuhaldus.ee; raamatupidamine@kinnistuhaldus.ee; rene@kinnistuhaldus.ee; tauri@kinnistuhaldus.ee";OK
Kinnisvarahaldjas;https://www.kinnisvarahaldjas.ee/;"2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com; 271e9fa3230b4eec94b02bf95780f5f2@sentry.wixpress.com; 460ff4620fa44cba8df530afde949785@sentry.wixpress.com; 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com; 8c4075d5481d476e945486754f783364@sentry.io; 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com; 9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com; c183baa23371454f99f417f6616b724d@sentry.wixpress.com; dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com; ed436f5053144538958ad06a5005e99a@sentry.wixpress.com; info@kinnisvarahaldjas.ee";OK
Kiriku Varahaldus;http://kirikuvarahaldus.eelk.ee/;"jyri.parbo@eelk.ee; kadi.kermon@eelk.ee; peep.tammemae@eelk.ee; tiit.kaarlop@eelk.ee; varahaldus@eelk.ee";OK
Kvatro Kinnisvarahalduse;http://www.kvatro.ee/;"kvatro@kvatro.ee; paide@kvatro.ee; polva@kvatro.ee; tartu@kvatro.ee";OK
L&T Partners;https://ltpartners.ee/;info@ltpartners.ee;OK
Laohaldus;http://laohaldus.ee/;info@laohaldus.ee;OK
Lepa Projekt;http://www.lepaprojekt.ee/;info@lepaprojekt.ee;OK
Lõunavara;https://lounavara.weebly.com/;info@lounavara.ee;OK
Majavalitseja Grupp;http://www.majavalitseja.ee/;info@majavalitseja.ee;OK
Majavara Haldus;http://majavara.ee/;info@majavara.ee;OK
Maket Kinnisvara;http://www.maket.ee/;info@maket.ee;OK
Martland;http://www.martland.ee/;info@martland.ee;OK
Mercurius Global (MG Kinnisvarahaldus);https://mgk.ee/;info@mgk.ee;OK
Minu Kinnisvara Haldus;http://www.minukinnisvarahaldus.ee/;info@minukinnisvarahaldus.ee;OK
MT Varahalduse;http://www.mtv.ee/;"haldus@mtv.ee; mai@mtv.ee";OK
My Property;http://www.myproperty.ee/;"info@myproperty.ee; tagasiside@myproperty.ee";OK
Narva Linnaelamu;http://linnaelamu.ee/;Не найдено;Не найдено
Onest Haldus;http://www.onest.ee/;"argo@onest.ee; leena@onest.ee; triin@onest.ee";OK
R Haldus;http://www.rhaldus.ee/;"ahoi@vetevoog.ee; info@rhaldus.ee";OK
R&A Varad;http://ravarad.ee/;info@ravarad.ee;OK
Revekor;http://www.revekor.ee/;revekor@revekor.ee;OK
Ropka Elamu;http://www.ropkaelamu.ee/;"%20kristine@ropkaelamu.ee; info@ropkaelamu.ee; kristine@ropkaelamu.ee; rivo@ropkaelamu.ee";OK
Tartu Elamuhalduse;http://www.elamuhaldus.ee/;"%20kristine@ropkaelamu.ee; info@ropkaelamu.ee; kristine@ropkaelamu.ee; rivo@ropkaelamu.ee";OK
Tartu Kinnisvarahalduse;http://tkh.ee/;info@tkh.ee;OK
Trimen Konsult;http://www.uhistu.ee/;info@uhistu.ee;OK
Tuna Haldus;http://www.tunahaldus.ee/;titus.paldrok@tunahaldus.ee;OK
Werbung;http://www.werbung.ee/;"info@werbung.ee; rene@werbung.ee";OK
Ühistuabi;http://www.uhistuabi.ee/;info@uhistuabi.ee;OK
Ühistupartner;http://www.yhistupartner.ee/;"ahoi@vetevoog.ee; info@yhistupartner.ee";OK
Citycentrum;http://www.citycentrum.ee/;info@citycentrum.ee;OK
Gigaberg;https://gigaberg.ee/;info@gigaberg.ee;OK
GoodChoice (MR Grupp);https://mrgrupp.ee/;info@mrgrupp.ee;OK
Haapsalu Linnamajanduse;http://www.hlmaja.ee/;info@hlmaja.ee;OK
House Haldus;https://househaldus.ee/;info@househaldus.ee;OK
Kinnisvara ja teede korrashoid;https://www.kinnisvarakorrashoid.ee/;info@kinnisvarakorrashoid.ee;OK
Kinnisvarateenindus;http://kinnisvarateenindus.ee/;info@kvteenindus.ee;OK
Kogrekinnisvarahooldus;https://kogrekinnisvarahooldus.ee/;Не найдено;Не найдено
KV Partnerid;http://www.kvpartnerid.ee/;info@kvpartnerid.ee;OK
Narva-Jõesuu Kommunaal;http://www.vaiko.ee/;info@njkom.ee;OK
Niks;https://niks.ee/;info@niks.ee;OK
Olemar;http://www.olemar.ee/;info@olemar.ee;OK
Prime Commerce;https://primehooldus.ee/;info@primehooldus.ee;OK
Riegler Grupp;https://koristaja.ee/;info@koristaja.ee;OK
Stell Eesti;https://stell.ee/;"info@stell.ee; kiida@stell.ee";OK
Strantum;https://www.strantum.ee/;teehooldus@strantum.ee;OK
Abcmodul (Holder);https://holder.ee/;"info@holder.ee; transport@holder.ee";OK
Citystock;https://www.citystock.ee/;info@citystock.ee;OK
EV Haldus (Everaus);https://everausminilaod.ee/;Не найдено;Не найдено
Jüri Nutilaod;https://nutilaod.ee/;klienditugi@nutilaod.ee;OK
Konteinerladu;https://konteinerladu.eu/;rait@miil.ee;OK
Kookon;https://www.kookon.ee/;info@kookon.ee;OK
Kuma Arendus (Peetrilaod.ee);https://peetrilaod.ee/;info@peetrilaod.ee;OK
Laagri Kinnisvara (Puhver Laod);https://puhver.ee/;info@puhver.ee;OK
Ladu112;https://ladu112.ee/;info@ladu112.ee;OK
Miniladu (Peetri Miniladu);https://peetriminiladu.ee/;"%20info@peetriminiladu.ee; info@peetriminiladu.ee";OK
Miniladu 24;https://miniladu24.ee/;info@miniladu24.ee;OK
Minilaod;http://www.minilaod.ee/;"info@minilaod.ee; jaanaviilop@gmail.com";OK
Panila;https://panila.ee/;panila@panila.ee;OK
Rukki 2 Arenduse;https://www.rukki2.ee/;Не найдено;Не найдено
Spetsiaalne;https://spetsiaalnelaod.ee/;info@spetsiaalne.ee;OK
Taevavärava;https://xn--taevavrava-v5a.ee/;ivo.tammearu@favorte.ee;OK
Taskulaod;https://taskulaod.ee/;info@taskulaod.ee;OK
Tähesaju Minilaod (247ladu.ee);https://247ladu.ee/;"%20info@holder.ee; info@holder.ee";OK
Veski Tehnopark;https://veskitehnopark.ee/;info@veskitehnopark.ee;OK
